Number,Name,Quantity,Cost,Price
1,"فرشاية دهان 1/2"" Agron",8644,0.65,1.25
8,"فرشاية  5""  Agron",0,12.5,16
9,طقم فراشي,0,5.5,10
30,"فرشاية 1/2 2"" Super Agron",0,6,7.25
2,"فرشاية  دهان  1"" Agron",1639,1.432256,2
50,"رول طراشه 9""A",0,6.55,13
3,"فرشاية دهان    1/2 1"" Agron",557,2.103626,3.5
80,"رول طراشه 9"" Akram",0,2.5,7
90,سماعات حمايه,0,4,8
31,"فرشاية  3"" Super Agron",0,10.6,12
41,"فرشاية معكوفه  2""",0,0.95,5.5
4,"فرشاية  2"" Agron",1569,4.0282,5.6
5,"فرشاية 1/2 2"" Agron",410,5.5052,7.25
6,"فرشاية  3""  Agron",1062,7.071764,9.9
7,"فرشاية  4""  Agron",215,7.89,14.75
42,"فرشاية معكوفه 1/2 2""",0,1.5,5.5
52,رول اسفنج 10سم ابيض,0,0.9,3.5
72,رول زوايا اصفر اسفتج,0,1,2
10,فرشاية  10*3  Agron  العلبة الصفراء,1,5.94,10
11,فرشاية   14*3  Agronالعلبة الصفراء,476,8.65,14
12,فرشاية  15*5  Agronالعلبة الصفراء,-1,13.32,18
13,"فرشاية  1"" Crown  ابيض",2062,1.06,2
14,"فرشاية دهان  1/2 1"" Crown  ابيض",1860,2.07,3.5
93,شفرة تنظيف (حديد),0,2.7,6
54,طقم رولات 10سم (10*1) + يد,0,6.8,18
64,"رول تكس 18سم  7""",0,6.5,8
74,"رول جومي 10""",0,7,25
15,"فرشاية دهان  2""  Crown ابيض",2002,3.62,5.6
16,"فرشاية دهان 1/2 2"" Crown ابيض",878,5.21,7.25
17,"فرشاية دهان 3"" Crown ابيض",2082,6.84,9.9
85,حفافة تلسكوب,0,12.95,22
95,مشرط بلاستيك ,0,0.74,1.25
46,"رول طراشه 9""B",0,7.35,12
56,طقم رولات 10سم  (4*1),0,2.7,5
18,"فرشاية دهان 4"" Crown  ابيض",811,9.62,14.75
47,"رول طراشه 10"" سوبر",0,9.85,16
67,"رول  9"" TM ديكور",0,5.5,10
77,رول كابرس صيني,0,12.1,15
19,فرشاية تيرا   7سم,2185,2.3506,8
97,اسفنجة سوبر ووش,0,4.5,6
28,"فرشاية 1/2 1"" Super Agron",0,1.8,3.5
68,"رول 9"" اسفنج بني ديكور",0,5.5,10
78,رول كابرس طلياني,0,28.2,40
20,فرشاية تيرا  10سم,1787,3.864,12
21,"فرشاية  1""  Painto ازرق",2919,1.63,3.5
29,"فرشاية  2"" Super Agron",0,3.11,5.6
22,"فرشاية 1/2 1"" Painto  ازرق",1159,2.38,4.5
79,"رول سوبرتكس جومي 7""",0,5,16.5
89,نظارات حماية,0,1.5,5
23,"فرشاية  2"" Painto  ازرق",779,4.68,7.5
24,"فرشاية  1/2 2"" Painto ازرق",366,7.2618,9.5
25,"فرشاية 3"" Painto ازرق",559,9,11.5
120,مطبة ديكور 15*15 طلياني,0,35.11,50
26,"فرشاية  4""  Painto ازرق",686,11.3505,16
140,مالج 8*20  Enox,0,29.62,45
160,ستانسل بوستر  Painto,0,20.5,35
27,"فرشاية  1""  Super Agron",405,1.09,2
111,طقم مجاريد مشرف,0,6.9,10
32,فرشاية قلم  3#,10416,0.48,1.25
33,فرشاية قلم  4#,10668,0.49,1.25
141,مالج 11*24 Enox,0,32.65,55
34,فرشاية قلم  5#,10842,0.53,1.25
171,تيب 1سم,0,0.85,1.25
35,فرشاية قلم  6#,10776,0.57,1.25
122,اسفنجة الورده طلياني,0,18,25
142,مالج ديكور بلاستيك طلياني,0,9,22
36,فرشاية قلم  8#,1524,0.53,1.5
162,ستانسل Porder Painto,0,7,15
37,فرشاية قلم  10#,3756,0.8,1.5
192,فلم نايلون 50cm*25m,0,6,8
103,جلدة لازور مبسطه,0,2.75,10
113,كف ووش اسفنج,0,5.21,10
123,زنار ديكور 13سم ,0,11.22,25
153,عصا  3.6م فيبر,0,48.07,65
38,فرشاية اغو  6#,746,1.769,6
39,"فرشاية معكوفه  1""",866,0.65,3.5
114,كف ووش اسفنج مع فرشاية,0,6.28,10
214,مكينة حبل تربيط,0,0,0
124,زنار 10سم,0,3.4,6
40,"فرشاية معكوفه  1/2 1""",402,0.9,4.5
43,فرشاية طراشه 7*17  Peta,1,32,50
164,ستانسل زخرفه,0,12.6,18
174,تيب  4سم,0,1.8,3
44,فرشاية طراشه 7*17  Agron,312,23.39,38
125,زنار 5سم,0,0.5,3
155,كف يد تطبيع جلد Painto,0,18.91,25
165,ستانسل  30*45,0,6.6,15
45,فرشاية طراشه 7*17  Rainbow,9,7.25,10
126,مطبة المجنونه,0,3,15
48,"رول طراشه 10""A",777,6.6,14
156,مطبة كابرس 20*20 لباد,0,23.69,35
49,"رول طراشه 10""B",66,5.38,13
107,طقم لازور احمر (عريض),0,7.17,25
127,طقم جلود كابرس طلياني,0,13,30
